"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.62709360346,-2.42271873580449,0.0600184990447592,-40.3661999944006,0,0,"CNN3","1266","calponin 3"
"ENSG00000183508",2053.88135557663,3.20195479009783,0.0724196786104639,44.2138773815985,0,0,"FAM46C","54855","family with sequence similarity 46 member C"
"ENSG00000159176",5692.46278267679,-2.31373720310222,0.0575725543975656,-40.1881977847426,0,0,"CSRP1","1465","cysteine and glycine rich protein 1"
"ENSG00000150938",7442.98631416393,-2.05963089845162,0.0538662664117859,-38.2360062363812,0,0,"CRIM1","51232","cysteine rich transmembrane BMP regulator 1"
"ENSG00000116016",4423.94665216876,-1.88801909330813,0.0431830109733222,-43.7213397295182,0,0,"EPAS1","2034","endothelial PAS domain protein 1"
"ENSG00000136068",3796.1265394147,-1.64979174998762,0.043948250341214,-37.5394182289088,0,0,"FLNB","2317","filamin B"
"ENSG00000164251",2348.7701339719,3.34450807734666,0.0690761004003838,48.4177314289746,0,0,"F2RL1","2150","F2R like trypsin receptor 1"
"ENSG00000124766",2576.65254960143,2.39228762903801,0.0617149289062809,38.7635159180187,0,0,"SOX4","6659","SRY-box 4"
"ENSG00000124762",28106.1191885778,1.83225763782654,0.0389240504423782,47.072635478647,0,0,"CDKN1A","1026","cyclin dependent kinase inhibitor 1A"
"ENSG00000106366",43719.1260988373,-1.84404629273492,0.04194432222197,-43.9641456828458,0,0,"SERPINE1","5054","serpin family E member 1"
"ENSG00000188153",2944.12640623352,2.26607993309183,0.0552775073634152,40.9946113921846,0,0,"COL4A5","1287","collagen type IV alpha 5 chain"
"ENSG00000122861",28007.1433373973,2.26252561744865,0.0552443887323254,40.9548493406493,0,0,"PLAU","5328","plasminogen activator, urokinase"
"ENSG00000148773",1840.19727265675,-3.19605832520648,0.0757850400408269,-42.172681092267,0,0,"MKI67","4288","marker of proliferation Ki-67"
"ENSG00000059804",3443.39680712992,2.07976312874077,0.0543363939424246,38.2756929166942,0,0,"SLC2A3","6515","solute carrier family 2 member 3"
"ENSG00000123416",4420.07398793879,-1.93841726369461,0.050592458889314,-38.3143517087293,0,0,"TUBA1B","10376","tubulin alpha 1b"
"ENSG00000139289",12942.9106281238,2.03736122045762,0.0463208974148041,43.9836301575298,0,0,"PHLDA1","22822","pleckstrin homology like domain family A member 1"
"ENSG00000125257",6050.78726438958,1.95054934170205,0.0436135749844341,44.7234454501427,0,0,"ABCC4","10257","ATP binding cassette subfamily C member 4"
"ENSG00000211448",1884.75741158654,2.52372163357506,0.0653986367722695,38.5898201878907,0,0,"DIO2","1734","iodothyronine deiodinase 2"
"ENSG00000128917",1307.34250385583,3.85825354359977,0.0865122646317589,44.5977637971043,0,0,"DLL4","54567","delta like canonical Notch ligand 4"
"ENSG00000138623",2851.61916336974,-2.40668727993071,0.0581456991851981,-41.3906327321861,0,0,"SEMA7A","8482","semaphorin 7A (John Milton Hagen blood group)"
"ENSG00000131747",1743.84285765667,-2.92418926974222,0.0696209357121465,-42.0015795511931,0,0,"TOP2A","7153","DNA topoisomerase II alpha"
"ENSG00000167601",8245.06804500101,-2.14234545141157,0.0404656615519053,-52.9423063716276,0,0,"AXL","558","AXL receptor tyrosine kinase"
"ENSG00000198743",1999.10327890814,2.53453007775963,0.0670994401753046,37.7727455123007,0,0,"SLC5A3","6526","solute carrier family 5 member 3"
"ENSG00000074800",18390.4756149844,-1.33893094366679,0.0358863136801606,-37.3103505587147,1.115117359245e-304,6.84774985023035e-302,"ENO1","2023","enolase 1"
"ENSG00000181104",14922.5173336984,1.66815957004536,0.0447823311999829,37.2503959786265,1.04405230433558e-303,6.15489714451911e-301,"F2R","2149","coagulation factor II thrombin receptor"
"ENSG00000115963",13232.3301349766,1.80533036696898,0.0488858257462993,36.929525878074,1.55252442601755e-298,8.80042499640255e-296,"RND3","390","Rho family GTPase 3"
"ENSG00000104368",13214.4968037918,2.02763727394713,0.0550693622286204,36.8196977754962,8.93646308818073e-297,4.87798492568917e-294,"PLAT","5327","plasminogen activator, tissue type"
"ENSG00000157680",1359.0634938634,2.54493776764168,0.0693543910420378,36.6946883882106,8.87607824532572e-295,4.67198718498609e-292,"DGKI","9162","diacylglycerol kinase iota"
"ENSG00000074416",2392.80973934457,-2.14808634921477,0.0589117307818241,-36.4627947729132,4.31339902427452e-291,2.19209913171579e-288,"MGLL","11343","monoglyceride lipase"
"ENSG00000104081",804.838487338129,4.43413614141544,0.121621378254814,36.4585256723969,5.0404600907827e-291,2.47621002726518e-288,"BMF","90427","Bcl2 modifying factor"
"ENSG00000166073",2268.80918089117,-2.20667085291349,0.0608268679130644,-36.2778970646218,3.61047976918238e-288,1.7164919625229e-285,"GPR176","11245","G protein-coupled receptor 176"
"ENSG00000165434",1243.14971044106,2.51723521142537,0.0693926096777439,36.2752636500529,3.97269387123649e-288,1.82967382107135e-285,"PGM2L1","283209","phosphoglucomutase 2 like 1"
"ENSG00000091527",2814.15907315816,-1.81023377778812,0.0499832898039915,-36.2167793453955,3.31445691274037e-287,1.4802565448475e-284,"CDV3","55573","CDV3 homolog"
"ENSG00000101825",1024.97040543336,3.28766485874621,0.0909576915647841,36.1449900738146,4.45973436987902e-286,1.91674235808224e-283,"MXRA5","25878","matrix remodeling associated 5"
"ENSG00000117724",1324.17284690485,-2.82511103040515,0.0781617377078907,-36.1444245388105,4.55190545073134e-286,1.91674235808224e-283,"CENPF","1063","centromere protein F"
"ENSG00000033867",3157.52042924196,1.93501319391244,0.053544984970452,36.1380845466713,5.72507901094585e-286,2.34378373509222e-283,"SLC4A7","9497","solute carrier family 4 member 7"
"ENSG00000198959",5110.85796803933,-1.74624494995863,0.0488104386818127,-35.7760552274918,2.60364469529384e-280,1.03709501403353e-277,"TGM2","7052","transglutaminase 2"
"ENSG00000164938",1395.92210584831,2.31778240909128,0.0656096738321355,35.3268393777022,2.27437692538229e-273,8.82099134902217e-271,"TP53INP1","94241","tumor protein p53 inducible nuclear protein 1"
"ENSG00000073712",2356.74691021858,-2.30515264995712,0.0654018880643279,-35.2459648823872,3.95578587636931e-272,1.49488133963925e-269,"FERMT2","10979","fermitin family member 2"
"ENSG00000143799",1043.84682510942,-2.61747542837545,0.0743615145472653,-35.1993291733151,2.04735601739394e-271,7.54348324608796e-269,"PARP1","142","poly(ADP-ribose) polymerase 1"
"ENSG00000196549",1520.30148791169,2.83743509329061,0.0806554749496776,35.1796960474281,4.08771597228213e-271,1.46938434145107e-268,"MME","4311","membrane metalloendopeptidase"
"ENSG00000110002",899.504360793506,4.43907541455871,0.126302438576032,35.1463951496587,1.31957245003589e-270,4.63044256395928e-268,"VWA5A","4013","von Willebrand factor A domain containing 5A"
"ENSG00000088325",1049.74978195443,-3.01204091608887,0.0861001432951844,-34.9829953913368,4.08104359724091e-268,1.39875396595666e-265,"TPX2","22974","TPX2, microtubule nucleation factor"
"ENSG00000133318",1500.97300012898,-2.41401884385837,0.0690627811245581,-34.9539767230713,1.12674736415978e-267,3.77409151204247e-265,"RTN3","10313","reticulon 3"
"ENSG00000154864",1374.01910088605,2.35786108678332,0.0676768096143806,34.8400153644698,6.03103924472189e-266,1.97523236419358e-263,"PIEZO2","63895","piezo type mechanosensitive ion channel component 2"
"ENSG00000197321",4211.22514661471,1.73283811845233,0.0497661314618448,34.8196266728282,1.22759030781668e-265,3.93309259926135e-263,"SVIL","6840","supervillin"
"ENSG00000182752",6930.41939676306,2.01486846925091,0.0588575296690632,34.2329771667256,7.81600667821415e-257,2.45090013667064e-254,"PAPPA","5069","pappalysin 1"
"ENSG00000198901",744.768135087352,-3.17652055739544,0.0928492317070526,-34.2115976513154,1.6255858271353e-256,4.99122581673333e-254,"PRC1","9055","protein regulator of cytokinesis 1"
"ENSG00000277443",2830.20102519863,-1.92971707385548,0.0569331597971368,-33.8944313073684,8.04697272271197e-252,2.42033232627202e-249,"MARCKS","4082","myristoylated alanine rich protein kinase C substrate"
"ENSG00000168542",62749.3849250663,1.40989005383022,0.0418341260610949,33.7019124475364,5.41954798669153e-249,1.59746596455719e-246,"COL3A1","1281","collagen type III alpha 1 chain"
"ENSG00000146072",1758.22981855472,2.0591089543088,0.0611311670638151,33.6834556447987,1.00988188905276e-248,2.91836064330579e-246,"TNFRSF21","27242","TNF receptor superfamily member 21"
"ENSG00000145632",3262.15452178144,1.54675009788676,0.0460350218830766,33.5994213669611,1.71048306640336e-247,4.8479037370486e-245,"PLK2","10769","polo like kinase 2"
"ENSG00000140943",1848.88777327798,-1.89361784925282,0.0564685101384728,-33.5340501211962,1.53792502913805e-246,4.27659227913896e-244,"MBTPS1","8720","membrane bound transcription factor peptidase, site 1"
"ENSG00000102024",3591.26703399212,-1.70354616026878,0.0509730400518536,-33.420532864742,6.89974301864433e-245,1.88311875201445e-242,"PLS3","5358","plastin 3"
"ENSG00000135046",4581.91768778281,-1.46401514025727,0.0439486895487327,-33.311917949997,2.59512095309857e-243,6.95398047395759e-241,"ANXA1","301","annexin A1"
"ENSG00000081923",1549.06690179341,-2.52988638576967,0.0760042835963874,-33.2861026518501,6.13512755731127e-243,1.61463410606524e-240,"ATP8B1","5205","ATPase phospholipid transporting 8B1"
"ENSG00000163346",2917.79069939981,1.81056627911041,0.0547122534461646,33.0925188612814,3.80764299881116e-240,9.84509517832964e-238,"PBXIP1","57326","PBX homeobox interacting protein 1"
"ENSG00000187678",2363.67043987816,1.72415457482954,0.0522751973746764,32.9822681007183,1.45873409464839e-238,3.70669363567723e-236,"SPRY4","81848","sprouty RTK signaling antagonist 4"
"ENSG00000163017",4893.9021785664,-1.87095180534953,0.056813730317587,-32.9313318257923,7.82879293335267e-238,1.95560593647037e-235,"ACTG2","72","actin, gamma 2, smooth muscle, enteric"
